draw,production_kgco2e
0,4008.436019172799
1,4011.972385873193
2,4290.295341599926
3,3462.576918336409
4,4183.1295403271
5,3721.9682854334715
6,3651.44152709425
7,4207.601921083231
8,3667.5700728065276
9,3816.4286433200577
10,3791.836946738087
11,4178.499099570583
12,3721.7698939434385
13,3951.994081478207
14,4134.2675583121945
15,3832.0989988998545
16,4471.201002438188
17,4231.922011056689
18,4440.9321277637855
19,3960.1374836652676
20,4227.490323205508
21,3729.347191452287
22,3624.759256987514
23,4369.47371554487
24,3830.7927368574456
25,3937.773615089295
26,4432.060880389444
27,4080.318339588586
28,3774.8599915962104
29,4059.5868545728727
30,4090.3679008859044
31,3887.226294259557
32,3953.3983486661937
33,3786.8708317610135
34,4098.946896209058
35,4389.121467127194
36,4181.720981296019
37,4180.373468205307
38,4104.87364642218
39,3907.832212260395
40,3855.424297509778
41,4056.3228371466885
42,3661.555037825039
43,3524.5724222843464
44,4298.267199926588
45,3795.5887002129425
46,3957.6558716353356
47,4104.867706433715
48,4027.58358652637
49,4288.0142121743465
50,3961.2953658620386
51,4076.5784541899156
52,4042.1669950173127
53,4188.717301484361
54,3898.655478216363
55,4041.9228268141096
56,3954.69315097287
57,4105.0776138567135
58,4083.9922436935767
59,3560.8987845181846
60,4337.292368144208
61,3744.224751248796
62,4075.5796232921393
63,4150.674850541634
64,3854.3560148179176
65,4140.088669758084
66,3984.803375905841
67,4114.366782389499
68,4018.6082888237465
69,3978.7508958681456
70,3909.5874922510116
71,4501.710413808776
72,4229.641793078015
73,4218.666650723287
74,4100.073357564326
75,4052.0936874205877
76,4077.744845132976
77,4144.847489880291
78,3985.978037878831
79,4222.0154955429325
80,4042.1757335729626
81,3652.690540615376
82,4051.998725033276
83,4141.717378475545
84,3754.6656264133417
85,3481.8810435936384
86,4194.038679347427
87,4421.43006056159
88,3663.3007714917
89,4312.185409303328
90,3939.315043950733
91,4297.400627178028
92,3760.802501862412
93,4106.716127934436
94,4295.725989149199
95,3699.68316114543
96,3865.901228355137
97,4266.855609797367
98,4116.134093420508
99,4111.568299169196
100,3725.718988633418
101,4144.2362561721475
102,4297.991921880736
103,4326.877853682868
104,4080.201981594003
105,3614.276305592007
106,4213.454301428452
107,4177.835144008874
108,3707.8107554330772
109,4387.377257040295
110,4253.186597085494
111,4178.432373541424
